Operator,lke
env,Warm
Toy_TPC,PCB_Based
Note,"Bottom_HWDB=https://dbweb0.fnal.gov/cdbdev/view/component/D08100400001-00063,Bottom_CE=VD-0000,Bottom_Cover=0000,Bottom_FEMB=BNL_FEMB_IO-1865-1J_00094,Top_HWDB=EMPTY,Top_CE=EMPTY,Top_Cover=EMPTY,Top_FEMB=EMPTY"
FEMB ID,{'femb0': 'BNL_FEMB_IO-1865-1J_00094'}
Date UTC,04_28_2026_00_15_58
name,"['BIAS', 'LArASIC', 'ColdDATA', 'ColdADC']"
V_set/V,"['5.000', '3.000', '3.000', '3.500']"
V_meas/V,"['5.0', '2.924', '2.955', '3.421']"
I_meas/A,"['0.0', '0.443', '0.226', '1.556']"
P_meas/W,"['0.0', '1.295', '0.668', '5.323']"
Total Power,"['7.286', '', '', '']"
COLDATA_REG_1,Pass
ColdADC_REG_1,Pass
COLDATA_REG_2,Pass
ColdADC_REG_2,Pass
Result,True
Result,True
ped,"[1142.3177083333333, 913.3046875, 848.62109375, 879.2078993055555, 886.7743055555555, 906.9153645833334, 923.2612847222222, 894.2651909722222, 1149.8229166666667, 852.0138888888889, 931.296875, 875.5381944444445, 883.5555555555555, 945.1089409722222, 813.9084201388889, 848.0477430555555, 972.5290798611111, 788.2986111111111, 865.7703993055555, 813.1080729166666, 821.9969618055555, 810.5512152777778, 763.4561631944445, 727.9639756944445, 884.8133680555555, 793.3259548611111, 828.1901041666666, 794.72265625, 727.48046875, 827.9309895833334, 741.6362847222222, 747.2183159722222, 998.8233506944445, 647.9704861111111, 805.6028645833334, 786.9926215277778, 797.7573784722222, 841.8346354166666, 751.4079861111111, 860.5698784722222, 1052.6875, 786.1393229166666, 740.7274305555555, 832.3424479166666, 834.0086805555555, 898.9171006944445, 762.9769965277778, 840.4136284722222, 1040.704861111111, 862.2217881944445, 983.8515625, 981.1193576388889, 915.2057291666666, 952.7864583333334, 953.08984375, 920.1983506944445, 1011.1801215277778, 771.9939236111111, 878.15625, 972.9887152777778, 782.5091145833334, 828.6662326388889, 830.2421875, 916.1315104166666, 1101.0121527777778, 1011.1553819444445, 1003.5594618055555, 917.7092013888889, 1017.0802951388889, 988.0360243055555, 853.6987847222222, 989.4535590277778, 1237.9965277777778, 945.2009548611111, 1012.8012152777778, 1081.4609375, 1048.8094618055557, 960.1610243055555, 926.5494791666666, 1012.0772569444445, 953.0915798611111, 898.7573784722222, 878.4852430555555, 798.4292534722222, 827.1484375, 846.8611111111111, 758.7738715277778, 994.8463541666666, 1203.2278645833333, 973.7625868055555, 1027.8680555555557, 1046.64453125, 1025.490017361111, 1064.70703125, 953.0147569444445, 1001.7092013888889, 1090.9409722222222, 1068.4071180555557, 1079.111545138889, 1067.9097222222222, 1084.734375, 1070.4418402777778, 971.3754340277778, 1035.728298611111, 1192.2161458333333, 948.3381076388889, 1088.592013888889, 977.4210069444445, 1045.4752604166667, 1153.2565104166667, 1017.6258680555555, 1088.256076388889, 1072.0707465277778, 828.7725694444445, 829.6245659722222, 910.3415798611111, 892.7291666666666, 883.2356770833334, 814.1501736111111, 1010.1375868055555, 1044.8823784722222, 907.1002604166666, 849.3016493055555, 863.0915798611111, 932.0091145833334, 892.8155381944445, 922.7942708333334, 849.2703993055555]"
